Date,portfolio_value
2026-02-17,240818.3036171082
2026-02-18,241368.28847778763
2026-02-19,241228.48264457326
2026-02-20,241360.0348890425
2026-02-23,240827.96123377606
2026-02-24,240681.14680636142
2026-02-25,241413.42998831405
2026-02-26,241388.07707835248
2026-02-27,241256.10733273503
2026-03-02,241328.95791795777
2026-03-03,241472.87463006764
2026-03-04,241846.27561851035
2026-03-05,241826.29561851037
2026-03-06,241858.2200609616
2026-03-09,241780.89297658062
2026-03-10,241462.11130226476
2026-03-11,241970.06931127893
2026-03-12,241881.7878333571
2026-03-13,241874.1718537647
2026-03-16,242100.89918084175
2026-03-17,242640.0960089315
2026-03-18,242141.08470206716
2026-03-19,242233.04011263588
2026-03-20,242017.69295171445
2026-03-23,242817.9363135341
2026-03-24,243040.43394079866
2026-03-25,243166.27858271988
2026-03-26,242025.69779383432
2026-03-27,241173.9652739124
2026-03-30,240976.1680724384
2026-03-31,244662.60213479854
2026-04-01,246277.16184188164
2026-04-02,246437.9051359336
2026-04-06,247441.28931411132
2026-04-07,247264.39132715858
2026-04-08,250191.23411001926
2026-04-09,251416.06573383903
2026-04-10,251080.85295196317
